ice shelf,lon,lat,before,after,sources,description,REMA1,REMA2,notes,
Amery,67.66965,-72.33779,2019-06-09,2019-06-11,"L8, S1, IS2, WV","massive event, paper published",2018-03-26,2019-12-20,paper: https://doi.org/10.1029/2020GL091095,https://discover.digitalglobe.com/822b0694-eb0c-11eb-b0f0-c629380d8059
Amery,71.038569,-71.747023,2014-10-03,2014-10-18,"REMA, L8","straddling grounding line, re-filled Feb 2020",2014-09-27,2015-02-18,"timing only L8, REMA later: 20151001, 20160917",
George VI,-67.699096,-71.511629,2016-01-12,2016-02-09,"REMA, L8","round shape, may have drained before",2016-01-12,2017-04-04,"lower: REMA, upper: L8 (somewhat unclear)",
Riiser-Larsen,-11.168363,-72.061902,2014-02-25,2014-09-19,"REMA, L8","shallow, small signal in REMA",2013-01-03,2016-10-15,long REMA time difference,
George VI,-67.59526,-71.617501,2014-12-29,2015-12-11,REMA,"nice signal in REMA, L8 always cloudy ",2015-02-16,2016-01-12,,
Amery,69.588149,-72.037005,2015-03-28,2015-04-02,"REMA, L8","round, uplift in middle?",2014-03-02,2016-12-06,,
Amery,71.5013,-71.3082,2019-03-30,2019-09-04,"IS2, L8","tear-shape near GL, nice IS2 profiles",?,?,,
Amery,67.49296,-71.88709,2014-10-18,2014-10-23,L8,"not a doline maybe?, looks like lake drained above GL",?,?,,
Amery,70.78402,-71.92557,2020-04-02,2020-09-18,L8,"straddling GL, drained 2015, re-filled, drained 2020",?,? ,,
Amery,69.29339,-72.39613,2019-07-24,2019-09-18,"L8, IS2",drained baisin looks like it drained before?,?,? ,,
George VI,-67.80585,-70.99862,2020-01-02,2020-03-23,"L8, IS2",doline formation made large melt lake form,?,?,,
Amery,69.51401,-72.34572,2020-12-14,2020-12-21,"L8, IS2","tear-shape near GL, IS2 close+caught uplift",?,?,,
Amery,72.74629,-70.47532,2020-02-14,2020-02-21,L8,near GL,?,?,,
George VI,-67.78925,-71.45909,2018-02-07,2018-03-02,L8,"classic georgeIV, water ring later",?,?,,
Amery,69.0791,-72.3006,2006-03-09,2006-03-10,"L7, MODIS",drained in just a single day (MODIS),x,x,,
Shackleton,100.0231,-66.2391,2010-02-24,2010-11-07,"L7, MODIS",elongated sytem along flowline / confluence,,,,
Shackleton,100.15366,-66.27061,2017-12-20,2017-12-27,L8,"nicely captured by L8, good example for Shackleton",??,??,TODO: Look for worldview data!!,
Amery,68.55895,-72.1843,2020-04-02,2020-09-14,L8,,,,,
Amery,66.60989,-73.12284,2014-03-17,2014-09-14,L8,right on southern end of Amery GL (real thick ice!),,,,
Amery,67.11467,-72.69375,2017-03-14,2017-09-08,L8,very elongated basin along flowlines,,,,
George VI,-67.62515,-71.52767,2021-02-15,2021-03-10,L8,looks like it straddles the GL,,,,
George VI,-67.96973,-70.65182,2019-01-01,2021-12-31,L8,cluster of multiple dolines!!,,,,
Wilkins,-70.06164,-70.2791,2020-01-24,2020-01-31,L8,,,,,
Wilkins,-70.62006,-70.2585,2016-02-14,2017-02-25,L8,,,,,
West Roi Baudouin,28.99765,-70.38412,2008-01-01,2008-12-31,L7,,,,,
Riiser-Larsen,32.25579,-69.80308,2011-02-08,2010-12-22,L7,https://www.universetoday.com/118639/what-could-explain-the-mysterious-ring-in-antarctica/,,,,
Larsen C,-63.5585,-66.22238,2016-04-18,2016-08-24,L8,,,,,
Pine Island,-99.57637,-74.47354,2019-12-23,2019-12-25,L8,,,,,
Pine Island,-99.56017,-74.58088,1997-01-01,1999-12-31,L1-5,,,,,
Abbott,-101.29298,-72.23435,2019-11-19,2020-12-31,L8,,,,,
Rennick,161.43022,-71.21367,2011-12-30,2012-01-31,L8,,,,,
Larsen B,-61,-65.3,2000-02-21,2000-10-05,"L7, IKONOS","Bindschadler et al. 2002, https://doi.org/10.3189/172756402781817996",,,,
Larsen A,-60.256686,-64.825163,1979-01-01,1986-12-31,L1-5,,,,,
Amery,67.8588,-72.9398,1988-03-15,1989-02-14,L1-5,"Fricker et al., 2002, ",,,,
Roi Baudouin,32.39084,-69.75951,2017-12-01,2017-12-19,S1 (InSAR),"Weiran Li et al. 2021, InSAR DATA!",,,,
George VI,-68.20518,-71.43409,2014-12-29,2015-12-10,L8,,,,,
Amery,70.21326,-72.02797,2014-01-25,2014-02-03,L8,,,,,
Amery,69.71341,-72.19439,2019-02-19,2019-03-12,L8,,,,,
Amery,72.80281,-70.42734,2015-04-04,2015-10-04,L8,,,,,
Amery,72.75138,-70.47519,2020-02-13,2020-02-20,L8,,,,,
Amery,72.79236,-70.46246,2021-01-30,2021-02-24,L8,,,,,
Amery,72.78785,-70.36178,2014-04-08,2014-09-22,L8,,,,,
Amery,72.72762,-70.38785,2014-04-08,2014-09-22,L8,,,,,
Amery,71.44876,-71.34526,2019-03-21,2019-03-30,L8,,,,,
Amery,71.41439,-71.10518,2015-09-25,2015-10-04,L8,,,,drained again 2019-02-19 to 2019-02-24,
Amery,71.36837,-71.1527,2014-12-22,2014-12-27,L8,"drained 6x in L8 period, incl. 2x in the same melt season",,,"re-filled, then drained again 2014-02-15 to 2014-03-01, then again 2017-10-02 to 2017-10-09, then again 2018-01-31 to 2018-02-05, then again 2019-02-01 to 2019-02-08, then again 2020-02-17 to 2020-03-14",
Amery,71.2393,-71.34863,2014-04-01,2014-09-24,L8,drained agian,,,,